"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "Ignore", "MS SQL", "YAML", "comment", "blank", "total"
"/home/hagop/projects/bewerbungsmanager/src/routes/userRoutes.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 1, 5, 17
"/home/hagop/projects/bewerbungsmanager/src/server.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"/home/hagop/projects/bewerbungsmanager/src/swagger.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 4, 20
"/home/hagop/projects/bewerbungsmanager/src/swagger/user.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 133, 0, 8, 141
"/home/hagop/projects/bewerbungsmanager/src/test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hagop/projects/bewerbungsmanager/src/types/application.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 7, 4, 69
"/home/hagop/projects/bewerbungsmanager/src/types/express/index.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/hagop/projects/bewerbungsmanager/src/types/user.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 1, 1, 29
"/home/hagop/projects/bewerbungsmanager/src/utils/mappers.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 1, 2, 12
"/home/hagop/projects/bewerbungsmanager/tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 844, 16, 565, 0, 563, 6, 56, 135, 220, 284, 2689
